location,date,total_cases,total_deaths
Japan,231,43815.0,1033.0
Japan,232,45439.0,1039.0
Japan,233,46783.0,1040.0
Japan,234,47990.0,1047.0
Japan,235,48928.0,1052.0
Japan,236,50210.0,1059.0
Japan,237,51147.0,1063.0
Japan,238,52217.0,1073.0
Japan,239,53577.0,1085.0
Japan,240,54714.0,1088.0
Japan,241,55667.0,1099.0
Japan,242,56685.0,1115.0
Japan,243,57550.0,1128.0
Japan,244,58501.0,1144.0
Japan,245,59721.0,1155.0
Japan,246,60733.0,1169.0
Japan,247,61747.0,1176.0
Japan,248,62507.0,1181.0
Japan,249,63121.0,1196.0
Japan,250,63822.0,1209.0
Japan,251,64668.0,1226.0
Japan,252,65573.0,1238.0
Japan,253,66423.0,1255.0
Japan,254,67264.0,1264.0
Japan,255,67865.0,1279.0
Japan,256,68392.0,1296.0
Japan,257,69001.0,1307.0
Japan,258,69599.0,1319.0
Japan,259,70268.0,1330.0
Japan,260,70876.0,1349.0
Japan,261,71419.0,1357.0
Japan,262,71856.0,1363.0
Japan,263,72234.0,1377.0
Japan,264,72726.0,1393.0
Japan,265,73221.0,1406.0
Japan,266,73901.0,1412.0
Japan,267,74544.0,1423.0
Japan,268,75218.0,1439.0
Japan,269,75657.0,1442.0
Japan,270,75958.0,1451.0
Japan,271,76448.0,1461.0
Japan,272,77009.0,1473.0
Japan,273,77494.0,1482.0
Japan,274,78073.0,1495.0
Japan,275,78657.0,1500.0
Japan,276,79140.0,1500.0
Japan,277,79438.0,1508.0
Japan,278,79768.0,1512.0
Japan,279,80041.0,1520.0
Japan,280,80497.0,1532.0
Japan,281,81055.0,1540.0
Japan,282,81690.0,1545.0
Japan,283,82131.0,1548.0
Japan,284,82494.0,1557.0
Japan,285,83010.0,1564.0
Japan,286,83563.0,1571.0
Japan,287,84215.0,1578.0
Japan,288,84768.0,1590.0
Japan,289,85339.0,1597.0
Japan,290,85739.0,1599.0
Japan,291,86047.0,1602.0
Japan,292,86543.0,1605.0
Japan,293,87020.0,1613.0
Japan,294,87639.0,1616.0
Japan,295,88233.0,1624.0
Japan,296,88912.0,1627.0
Japan,297,89347.0,1629.0
Japan,298,89673.0,1634.0
Japan,299,90140.0,1638.0
Japan,300,90710.0,1646.0
Japan,301,91431.0,1650.0
Japan,302,92063.0,1661.0
Japan,303,92656.0,1670.0
Japan,304,93127.0,1674.0
Japan,305,93480.0,1676.0
Japan,306,93933.0,1679.0
Japan,307,94524.0,1685.0
Japan,308,95138.0,1694.0
Japan,309,95835.0,1706.0
Japan,310,96534.0,1711.0
Japan,311,97074.0,1718.0
Japan,312,97498.0,1725.0
Japan,313,98116.0,1730.0
Japan,314,98852.0,1733.0
Japan,315,99622.0,1744.0
Japan,316,100392.0,1755.0
Japan,317,101146.0,1766.0
Japan,318,101813.0,1774.0
Japan,319,102281.0,1780.0
Japan,320,102900.0,1786.0
Japan,321,103838.0,1794.0
Japan,322,104782.0,1806.0
Japan,323,105914.0,1809.0
Japan,324,107086.0,1812.0
Japan,325,108084.0,1818.0
Japan,326,108983.0,1829.0
Japan,327,110156.0,1841.0
Japan,328,111711.0,1851.0
Japan,329,113298.0,1867.0
Japan,330,114983.0,1880.0
Japan,331,116677.0,1883.0
Japan,332,118136.0,1885.0
Japan,333,119326.0,1903.0
Japan,334,120815.0,1913.0
Japan,335,122966.0,1922.0
Japan,336,125267.0,1943.0
Japan,337,127665.0,1963.0
Japan,338,130179.0,1974.0
Japan,339,132358.0,1981.0
Japan,340,133929.0,1989.0
Japan,341,135400.0,2001.0
Japan,342,137261.0,2022.0
Japan,343,139491.0,2051.0
Japan,344,142068.0,2074.0
Japan,345,144653.0,2106.0
Japan,346,146760.0,2119.0
Japan,347,148694.0,2139.0
Japan,348,150386.0,2172.0
Japan,349,152827.0,2213.0
Japan,350,155232.0,2240.0
Japan,351,157674.0,2283.0
Japan,352,160098.0,2315.0
Japan,353,162067.0,2335.0
Japan,354,163929.0,2382.0
Japan,355,165840.0,2420.0
Japan,356,168573.0,2465.0
Japan,357,171542.0,2502.0
Japan,358,174299.0,2534.0
Japan,359,177287.0,2562.0
Japan,360,179653.0,2585.0
Japan,361,181870.0,2643.0
Japan,362,184042.0,2688.0
Japan,363,187103.0,2739.0
Japan,364,190138.0,2783.0
Japan,365,193031.0,2828.0
Japan,366,195880.0,2873.0
Japan,367,198523.0,2900.0
Japan,368,200658.0,2944.0
Japan,369,203113.0,2994.0
Japan,370,206139.0,3050.0
Japan,371,209980.0,3105.0
Japan,372,213547.0,3155.0
Japan,373,217312.0,3213.0
Japan,374,220236.0,3252.0
Japan,375,223120.0,3306.0
Japan,376,226596.0,3349.0
Japan,377,230304.0,3414.0
Japan,378,238012.0,3460.0
Japan,379,240954.0,3514.0
Japan,380,243847.0,3548.0
Japan,381,247960.0,3599.0
Japan,382,252317.0,3655.0
Japan,383,258393.0,3719.0
Japan,384,265299.0,3791.0
Japan,385,273154.0,3857.0
Japan,386,280775.0,3932.0
Japan,387,286752.0,3996.0
Japan,388,292212.0,4044.0
Japan,389,297315.0,4094.0
Japan,390,302623.0,4145.0
Japan,391,309214.0,4233.0
Japan,392,315910.0,4315.0
Japan,393,322296.0,4380.0
Japan,394,328294.0,4446.0
Japan,395,334328.0,4501.0
Japan,396,339774.0,4548.0
Japan,397,345221.0,4647.0
Japan,398,351020.0,4743.0
Japan,399,356074.0,4830.0
Japan,400,360661.0,4935.0
Japan,401,364813.0,5019.0
Japan,402,368143.0,5084.0
Japan,403,371680.0,5158.0
Japan,404,375607.0,5252.0
Japan,405,379516.0,5361.0
Japan,406,383083.0,5452.0
Japan,407,386742.0,5546.0
Japan,408,389518.0,5654.0
Japan,409,391626.0,5722.0
Japan,410,393836.0,5794.0
Japan,411,396429.0,5912.0
Japan,412,399048.0,6020.0
Japan,413,401355.0,6135.0
Japan,414,403435.0,6243.0
Japan,415,404990.0,6338.0
Japan,416,406766.0,6395.0
Japan,417,408186.0,6476.0
Japan,418,410012.0,6557.0
Japan,419,411751.0,6678.0
Japan,420,413154.0,6774.0
Japan,421,414472.0,6849.0
Japan,422,415782.0,6912.0
Japan,423,417765.0,6952.0
Japan,424,419015.0,7015.0
Japan,425,420408.0,7102.0
Japan,426,421967.0,7196.0
Japan,427,423311.0,7274.0
Japan,428,424507.0,7333.0
Japan,429,425597.0,7417.0
Japan,430,426456.0,7474.0
Japan,431,427467.0,7529.0
Japan,432,428553.0,7584.0
Japan,433,429472.0,7647.0
Japan,434,430539.0,7722.0
Japan,435,431740.0,7807.0
Japan,436,432773.0,7860.0
Japan,437,433504.0,7887.0
Japan,438,434356.0,7933.0
Japan,439,435548.0,7984.0
Japan,440,436728.0,8052.0
Japan,441,437892.0,8119.0
Japan,442,438956.0,8178.0
Japan,443,439992.0,8227.0
Japan,444,440671.0,8253.0
Japan,445,441729.0,8299.0
Japan,446,443001.0,8353.0
Japan,447,444289.0,8402.0
Japan,448,445585.0,8451.0
Japan,449,446873.0,8509.0
Japan,450,447906.0,8560.0
Japan,451,448688.0,8590.0
Japan,452,449713.0,8622.0
Japan,453,451186.0,8678.0
Japan,454,452702.0,8717.0
Japan,455,454158.0,8758.0
Japan,456,455638.0,8790.0
Japan,457,456781.0,8812.0
Japan,458,457754.0,8835.0
Japan,459,459043.0,8861.0
Japan,460,460897.0,8908.0
Japan,461,462840.0,8938.0
Japan,462,464866.0,8967.0
Japan,463,466849.0,8998.0
Japan,464,468614.0,9031.0
Japan,465,470175.0,9061.0
Japan,466,472112.0,9086.0
Japan,467,474773.0,9113.0
Japan,468,477458.0,9162.0
Japan,469,480165.0,9185.0
Japan,470,482867.0,9213.0
Japan,471,485325.0,9221.0
Japan,472,487545.0,9231.0
Japan,473,489576.0,9249.0
Japan,474,492875.0,9279.0
Japan,475,496206.0,9301.0
Japan,476,499793.0,9334.0
Japan,477,503403.0,9353.0
Japan,478,506286.0,9382.0
Japan,479,508802.0,9400.0
Japan,480,512169.0,9425.0
Japan,481,516121.0,9469.0
Japan,482,520745.0,9500.0
Japan,483,525218.0,9538.0
Japan,484,529829.0,9584.0
Japan,485,534052.0,9622.0
Japan,486,537317.0,9641.0
Japan,487,541496.0,9671.0
Japan,488,546425.0,9710.0
Japan,489,551898.0,9764.0
Japan,490,556999.0,9800.0
Japan,491,562141.0,9854.0
Japan,492,566863.0,9913.0
Japan,493,571040.0,9972.0
Japan,494,575563.0,10004.0
Japan,495,580988.0,10055.0
Japan,496,586782.0,10194.0
Japan,497,591602.0,10229.0
Japan,498,597225.0,10296.0
Japan,499,602862.0,10361.0
Japan,500,607626.0,10420.0
Japan,501,612360.0,10470.0
Japan,502,616123.0,10517.0
Japan,503,620994.0,10589.0
Japan,504,626522.0,10702.0
Japan,505,633027.0,10823.0
Japan,506,640044.0,10876.0
Japan,507,645817.0,10941.0
Japan,508,651702.0,11064.0
Japan,509,658629.0,11165.0
Japan,510,665547.0,11255.0
Japan,511,671841.0,11365.0
Japan,512,677988.0,11463.0
Japan,513,683175.0,11508.0
Japan,514,687825.0,11591.0
Japan,515,692702.0,11851.0
Japan,516,698254.0,11940.0
Japan,517,704159.0,12046.0
Japan,518,709527.0,12152.0
Japan,519,714274.0,12236.0
Japan,520,718864.0,12312.0
Japan,521,721912.0,12398.0
Japan,522,725536.0,12497.0
Japan,523,729853.0,12601.0
Japan,524,733887.0,12714.0
Japan,525,738035.0,12819.0
Japan,526,741674.0,12920.0
Japan,527,744487.0,12967.0
Japan,528,746713.0,13048.0
Japan,529,749130.0,13140.0
Japan,530,752191.0,13245.0
Japan,531,755065.0,13364.0
Japan,532,757663.0,13449.0
Japan,533,760323.0,13523.0
Japan,534,762401.0,13574.0
Japan,535,763891.0,13645.0
Japan,536,765619.0,13743.0
Japan,537,767808.0,13841.0
Japan,538,769920.0,13907.0
Japan,539,771840.0,13977.0
Japan,540,773822.0,14033.0
Japan,541,775231.0,14071.0
Japan,542,776307.0,14126.0
Japan,543,777643.0,14187.0
Japan,544,779338.0,14269.0
Japan,545,780898.0,14320.0
Japan,546,782491.0,14365.0
Japan,547,784000.0,14400.0
Japan,548,785287.0,14423.0
Japan,549,786298.0,14454.0
Japan,550,787650.0,14496.0
Japan,551,789440.0,14553.0
Japan,552,791082.0,14598.0
Japan,553,792832.0,14626.0
Japan,554,794457.0,14657.0
Japan,555,795756.0,14669.0
Japan,556,796829.0,14705.0
Japan,557,798159.0,14740.0
Japan,558,799978.0,14781.0
Japan,559,801721.0,14802.0
Japan,560,803492.0,14824.0
Japan,561,805376.0,14842.0
Japan,562,806834.0,14848.0
Japan,563,807951.0,14862.0
Japan,564,809553.0,14884.0
Japan,565,811712.0,14897.0
Japan,566,813976.0,14917.0
Japan,567,816242.0,14933.0
Japan,568,818690.0,14948.0
Japan,569,820715.0,14955.0
Japan,570,822280.0,14959.0
Japan,571,824589.0,14971.0
Japan,572,827772.0,14990.0
Japan,573,831193.0,15014.0
Japan,574,834618.0,15027.0
Japan,575,838432.0,15040.0
Japan,576,841537.0,15048.0
Japan,577,844014.0,15060.0
Japan,578,847614.0,15079.0
Japan,579,852517.0,15097.0
Japan,580,857799.0,15106.0
Japan,581,862148.0,15115.0
Japan,582,865666.0,15124.0
Japan,583,870445.0,15129.0
Japan,584,875506.0,15137.0
Japan,585,882823.0,15151.0
Japan,586,892293.0,15160.0
Japan,587,902718.0,15173.0
Japan,588,913755.0,15184.0
Japan,589,925823.0,15192.0
Japan,590,935886.0,15197.0
Japan,591,944763.0,15204.0
Japan,592,956407.0,15219.0
Japan,593,970460.0,15228.0
Japan,594,985691.0,15240.0
Japan,595,1001281.0,15255.0
Japan,596,1016781.0,15273.0
Japan,597,1031296.0,15280.0
Japan,598,1043625.0,15297.0
Japan,599,1054491.0,15311.0
Japan,600,1069554.0,15330.0
Japan,601,1087779.0,15358.0
Japan,602,1108269.0,15383.0
Japan,603,1128382.0,15400.0
Japan,604,1144546.0,15408.0
Japan,605,1159945.0,15431.0
Japan,606,1179176.0,15467.0
Japan,607,1202012.0,15501.0
Japan,608,1227340.0,15534.0
Japan,609,1252295.0,15563.0
Japan,610,1277439.0,15596.0
Japan,611,1300353.0,15631.0
Japan,612,1318346.0,15663.0
Japan,613,1339115.0,15693.0
Japan,614,1362813.0,15737.0
Japan,615,1388863.0,15797.0
